Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
108	Minden	NW	201193	173807	6469	3426	167338	170381	76887	76615	66559	67454	0	0	18509	20477	3743	4006	1258	1290	382	349	0	66	0	53	0	71	0	0
109	Lüdinghausen	NW	189725	170848	4391	3135	166457	167713	66791	66940	90539	88166	0	0	5915	8800	1246	1417	1801	1967	165	171	0	117	0	72	0	63	0	0
110	Wanne-Eickel – Wattenscheid	NW	131881	115075	3546	1880	111529	113195	65178	65387	39876	39978	0	0	3969	4979	504	558	1898	2086	104	78	0	44	0	42	0	43	0	0
111	Herne – Castrop-Rauxel	NW	137779	123026	4086	2071	118940	120955	65260	65767	46511	46568	0	0	3806	4990	647	692	2716	2795	0	29	0	44	0	32	0	38	0	0
112	Ennepe-Ruhr-Kreis	NW	186738	168099	3606	2112	164493	165987	87582	86686	59837	59191	0	0	12925	14929	1592	1750	2255	2949	165	173	0	59	0	107	137	143	0	0
113	Hagen	NW	144122	125044	1984	2624	123060	122420	64147	62885	47200	45850	0	0	8412	9958	1172	1356	2015	2130	114	112	0	55	0	46	0	28	0	0
114	Dortmund I	NW	165090	147459	4432	1981	143027	145478	75835	76265	54534	54127	0	0	8547	10652	1515	1655	2253	2367	343	222	0	67	0	81	0	42	0	0
115	Dortmund II	NW	143200	124575	3977	2032	120598	122543	73065	73589	40691	41057	0	0	3963	4753	764	829	1900	1976	215	166	0	54	0	72	0	47	0	0
116	Dortmund III	NW	157677	136550	4556	2114	131994	134436	74652	75090	48019	48535	0	0	5790	7118	1296	1338	1791	1967	160	154	0	59	0	110	0	65	0	286
117	Bochum	NW	158454	140201	3372	2090	136829	138111	75597	74517	52116	52183	0	0	6266	8011	1189	1390	1439	1658	131	116	0	63	0	88	91	85	0	0
118	Bochum – Witten	NW	167565	148708	4149	2316	144559	146392	86951	86454	48508	48776	0	0	6223	7905	1207	1327	1444	1614	155	131	0	33	0	79	71	73	0	0
119	Iserlohn	NW	175424	155717	3554	2195	152163	153522	66825	66766	72257	70037	0	0	10029	12846	1711	2086	1216	1371	125	108	0	180	0	88	0	40	0	0
120	Lippstad – Brilon	NW	113586	103150	3458	2128	99692	101022	33044	31678	60330	61481	0	0	4820	5822	1041	1183	457	488	0	56	0	269	0	12	0	33	0	0
121	OIpe – Meschede	NW	116184	106860	1711	2176	105149	104684	27073	26548	72476	71173	0	0	4281	5305	699	739	522	500	98	87	0	309	0	7	0	16	0	0
