Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
94	GELSENKIRCHEN II - RECKLINGHAUSEN III	NW	138960	123903	1322	871	122581	123032	74752	74349	38019	37237	0	0	6953	9384	0	75	0	0	615	400	2169	1320	0	19	0	6	0	207	73	35	0	0	0	0
95	BOTTROP - RECKLINGHAUSEN IV	NW	149265	133880	1336	989	132544	132891	79419	78726	43109	42203	0	0	6160	9560	0	71	0	0	2037	937	1819	1178	0	19	0	13	0	175	0	9	0	0	0	0
96	BORKEN	NW	203063	184857	2120	1445	182737	183412	60901	57187	113383	111981	0	0	7947	11792	0	106	0	0	380	173	0	2003	0	21	126	19	0	109	0	21	0	0	0	0
97	COESFELD - STEINFURT I	NW	184749	169650	1784	1286	167866	168364	52486	54448	99497	97007	0	0	12915	14274	0	144	0	0	213	126	2698	2198	0	16	57	27	0	96	0	28	0	0	0	0
98	STEINFURT II	NW	196386	177348	1906	1476	175442	175872	80088	77167	80718	78244	0	0	11193	17691	0	109	0	0	280	223	3084	2199	0	13	79	27	0	142	0	57	0	0	0	0
99	MUENSTER	NW	176220	158354	1423	969	156931	157385	61043	58539	74679	72270	0	0	14682	22440	0	111	0	0	709	552	5612	3204	0	12	94	69	0	125	112	63	0	0	0	0
100	WARENDORF	NW	172457	157272	1547	1360	155725	155912	57582	58823	82053	79749	0	0	12482	14644	0	87	0	0	450	300	3111	2067	0	28	47	22	0	176	0	16	0	0	0	0
101	GUETERSLOH	NW	199003	179381	1757	1490	177624	177891	69371	66660	91930	87685	0	0	12699	20435	0	160	0	0	221	173	3362	2515	0	13	41	17	0	198	0	35	0	0	0	0
102	BIELEFELD	NW	229154	205125	2421	1770	202704	203355	98723	96412	79777	76700	0	0	17475	25580	0	109	0	0	867	539	5569	3614	96	38	65	40	0	240	132	83	0	0	0	0
103	HERFORD	NW	176250	159947	1902	1621	158045	158326	82290	78538	61007	58806	0	0	11469	18279	0	101	0	0	239	166	2992	2162	0	14	48	18	0	218	0	24	0	0	0	0
104	MINDEN-LUEBBECKE	NW	219101	195378	2228	1941	193150	193437	99356	93920	75068	72869	0	0	15368	23866	0	83	0	0	371	267	2827	2153	47	37	42	19	0	178	71	45	0	0	0	0
105	LIPPE I	NW	155276	140778	1497	1269	139281	139509	69363	66793	53958	52155	0	0	13008	18062	0	94	0	0	303	205	2620	1905	0	24	29	12	0	236	0	23	0	0	0	0
106	HOEXTER - LIPPE II	NW	192928	174696	1922	1526	172774	173170	65706	63581	90943	88760	0	0	12349	17887	0	93	0	0	229	164	3374	2346	0	39	72	41	0	211	101	48	0	0	0	0
107	PADERBORN	NW	154304	139013	1557	1141	137456	137872	37435	37362	87835	86799	0	0	9884	11649	0	104	0	0	111	99	2132	1688	0	15	59	30	0	112	0	14	0	0	0	0
108	HAGEN	NW	164321	145730	1827	1227	143903	144503	75174	74576	54597	51960	0	0	13063	15504	0	96	0	0	940	402	0	1508	0	15	129	30	0	391	0	21	0	0	0	0
