Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
141	Frankfurt II	HE	164470	145938	1470	799	144468	145139	74897	68712	55219	54480	0	0	12543	20223	982	717	0	139	0	0	827	868	0
142	Frankfurt III	HE	139596	124964	1258	768	123706	124196	66766	59866	46436	46551	0	0	9122	16345	666	570	0	107	0	0	716	757	0
143	Groß-Gerau	HE	223368	209008	1883	1223	207125	207785	117416	106224	78288	78792	0	0	8966	20512	1192	717	0	196	0	0	1263	1344	0
144	Offenbach	HE	192522	177178	1611	967	175567	176211	95731	86097	67239	67326	0	0	10947	21020	934	807	0	185	0	0	716	776	0
145	Darmstadt	HE	186636	172031	1671	1148	170360	170883	96006	84406	62016	62622	0	0	9941	21874	1018	708	334	278	0	0	1045	995	0
146	Dieburg	HE	212702	199146	2761	1753	196385	197393	104014	95173	82451	82691	0	0	7594	17129	1254	1010	0	234	0	0	1072	1156	0
147	Bergstraße	HE	161271	149468	1598	1302	147870	148166	76265	69577	65766	65196	0	0	4541	11853	513	485	0	104	0	0	785	951	0
906	Hessen	HE	3841104	3522483	36907	23647	3485576	3498836	1856417	1697322	1411018	1409771	0	0	183553	355558	16925	13214	334	3204	0	0	17329	19767	0
																									
148	Neuwied	RP	196359	181385	1796	1623	179589	179762	84242	79860	83544	83055	0	0	11206	15866	597	476	0	0	0	0	0	505	0
149	Ahrweiler	RP	153471	140478	1922	1201	138556	139277	53668	51409	80025	79547	0	0	4190	7602	373	263	0	0	0	0	0	456	300
150	Koblenz	RP	173068	157338	2436	1181	154902	156157	70411	67372	76496	75853	0	0	7341	11909	654	476	0	0	0	0	0	547	0
151	Cochem	RP	127045	116031	2220	1350	113811	114681	39541	36766	66124	66189	0	0	7149	10672	286	258	0	0	0	0	711	796	0
152	Kreuznach	RP	175107	159912	1400	1366	158512	158546	83272	79825	67388	61216	0	0	6528	15893	643	574	0	0	0	0	681	1038	0
153	Bitburg	RP	142465	128990	2857	1687	126133	127303	36385	36295	83951	83229	0	0	5383	6854	414	284	0	0	0	0	0	641	0
154	Trier	RP	159349	144725	2951	1808	141774	142917	60987	58703	74834	74486	0	0	5318	8628	635	419	0	0	0	0	0	681	0
155	Montabaur	RP	203237	187080	2096	2143	184984	184937	88762	85124	84633	83602	0	0	10260	14875	527	430	0	0	0	0	802	906	0
156	Mainz	RP	200365	185476	2361	1437	183115	184039	95856	83952	76891	76390	0	0	8727	21956	698	741	0	0	0	0	943	1000	0
157	Worms	RP	153970	142122	1488	1424	140634	140698	77118	72879	53361	52219	0	0	7800	13368	554	503	0	0	0	0	1801	1729	0
158	Frankenthal	RP	125811	116269	1804	1519	114465	114750	65321	61993	41800	41864	0	0	5262	8923	543	427	0	0	0	0	1539	1543	0
159	Ludwigshafen	RP	156094	143130	1442	1495	141688	141635	83496	77972	51207	51090	0	0	5095	10858	998	792	0	0	0	0	892	923	0
160	Neustadt – Speyer	RP	153379	141745	1748	1682	139997	140063	66914	64204	64636	63469	0	0	6301	10584	659	565	0	0	0	0	1487	1241	0
161	Kaiserslautern	RP	201343	182043	2193	2019	179850	180024	100191	95185	68759	67187	0	0	7383	13855	798	760	0	0	0	0	2719	3037	0
162	Pirmasens	RP	143428	130596	1924	1660	128672	128936	59940	57251	60691	60545	0	0	5791	8934	482	435	0	0	0	0	1768	1771	0
163	Landau	RP	159199	146687	2657	2551	144030	144136	61915	59163	70948	70398	0	0	9328	12722	366	346	0	0	0	0	1473	1507	0
907	Rheinland-Pfalz	RP	2623690	2404007	33295	26146	2370712	2377861	1128019	1067953	1105288	1090339	0	0	113062	193499	9227	7749	0	0	0	0	14816	18321	300
																									
