Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CDU	CSU	FDP	FDP	GRÜNE	GRÜNE	ASD	ASD	B P	B P	C.B.V.	C.B.V.	ZENTRUM	ZENTRUM	MUENDIGE	MUENDIGE	FRAUEN	FRAUEN	FAP	FAP	MLPD	MLPD	NPD	NPD	OE D P	OE D P	PATRIOTEN	PATRIOTEN	FAMILIE	SOLIDARITAET	F S U	H P	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																														
904	BREMEN	HB	521646	431635	4060	3452	427575	428183	211791	198920	135600	123745	0	0	19668	37725	50166	62130	2210	1834	0	0	0	0	0	0	0	259	0	771	0	405	0	137	2293	2100	0	0	185	157	0	0	0	0	0	5662
																																														
53	AACHEN	NW	164974	140221	1450	1104	138771	139117	59758	50173	64559	58038	0	0	4541	13814	9080	15978	0	0	0	0	0	0	0	91	0	74	0	188	0	0	0	54	0	422	0	225	130	60	0	0	0	0	0	703
54	KREIS AACHEN	NW	218839	192132	2345	2072	189787	190060	87579	85042	86122	80923	0	0	5706	11730	9121	10788	0	0	0	0	0	0	0	110	0	113	0	274	0	0	0	42	743	737	0	235	0	66	0	0	0	0	0	516
55	HEINSBERG	NW	161112	141398	2394	1895	139004	139503	46576	46308	80068	74348	0	0	4688	10297	7180	7343	0	0	0	0	0	0	0	95	0	98	0	194	0	0	0	38	0	498	0	235	0	49	0	0	0	0	0	492
56	DUEREN	NW	181170	158029	1931	1665	156098	156364	63092	60997	76723	72198	0	0	9126	13536	6498	8522	0	0	0	0	0	0	0	116	0	88	0	200	0	0	0	25	0	417	0	203	117	62	130	0	0	0	0	412
57	ERFTKREIS I	NW	216875	188839	1788	1471	187051	187368	95023	84654	77536	72475	0	0	5458	16514	8544	12234	0	0	0	0	0	0	0	101	0	127	0	268	0	0	0	31	0	582	0	277	186	105	0	0	0	0	0	304
58	EUSKIRCHEN – ERFTKREIS II	NW	216044	187856	2545	1881	185311	185975	66794	64828	94174	88005	0	0	13204	19535	10476	11889	0	0	0	0	0	0	0	138	0	154	0	306	0	0	0	44	0	649	0	315	242	112	0	0	0	0	0	421
59	KOELN I	NW	155695	125597	1092	907	124505	124690	58888	51827	44939	41823	0	0	6260	11895	12584	17863	0	0	0	0	0	0	0	90	0	70	0	193	0	0	0	37	605	619	0	201	75	72	0	0	0	0	0	1154
60	KOELN II	NW	160747	135632	1064	824	134568	134808	53269	46218	60842	51770	0	0	8004	19865	11103	15819	0	0	0	0	0	0	0	67	0	79	0	205	0	0	0	27	468	483	0	233	54	42	0	0	0	0	0	828
61	KOELN III	NW	188457	150521	1617	1240	148904	149281	72284	69177	56136	51080	0	0	5560	11920	12922	15498	0	0	0	0	0	0	0	103	0	73	0	241	0	0	0	50	872	829	0	227	88	83	0	0	0	0	0	1042
62	KOELN IV	NW	173360	138797	1504	1194	137293	137603	70807	67454	49817	45137	0	0	5298	11344	9707	12156	0	0	0	0	0	0	0	69	0	83	0	213	0	0	0	69	825	804	0	222	74	52	0	0	0	64	0	701
