Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
142	Frankfurt III	HE	142124	119146	2234	1497	116912	117649	62108	58195	40744	40964	0	0	7172	10561	5391	6287	1024	1030	0	0	473	431	181	0	0	0	0	0	0	0
143	Groß-Gerau	HE	198313	179958	4495	2744	175463	177214	93739	92359	64912	65166	0	0	8417	9034	6499	7653	1896	1352	0	0	0	348	1302	0	0	0	0	0	0	0
144	Offenbach	HE	181853	160901	3145	1769	157756	159132	86445	80704	56787	58325	0	0	7596	11206	5333	6299	1595	1648	0	0	0	382	568	0	0	0	0	0	0	0
145	Darmstadt	HE	172987	153580	3111	2688	150469	150892	81591	77344	52193	53086	0	0	8002	10747	6713	7557	1282	1172	0	0	688	618	368	0	0	0	0	0	0	0
146	Dieburg	HE	187985	172042	5063	3344	166979	168698	84243	81134	68390	69239	0	0	6437	8453	6020	7168	1889	1788	0	0	0	302	614	0	0	0	0	0	0	0
147	Bergstraße	HE	144272	129281	3762	2451	125519	126830	57769	56000	57753	57373	0	0	4373	5907	4739	5788	885	843	0	0	0	164	755	0	0	0	0	0	0	0
906	Hessen	HE	3573336	3151868	73371	53835	3078497	3098033	1557796	1492916	1193890	1190642	0	0	168231	208325	132808	158705	23333	22137	0	0	2303	6550	18758	0	0	0	136	0	0	0
																																
148	Neuwied	RP	178868	158651	2308	2463	156343	156188	61602	62121	81270	78557	0	0	8787	10124	3992	4732	692	654	0	0	0	0	0	0	0	0	0	0	0	0
149	Ahrweiler	RP	146776	130047	2952	2239	127095	127808	41063	39923	78787	79318	0	0	3866	4843	2792	3239	587	485	0	0	0	0	0	0	0	0	0	0	0	0
150	Koblenz	RP	161882	141207	3695	1664	137512	139543	55530	54710	71651	72455	0	0	6373	7686	3343	4103	615	589	0	0	0	0	0	0	0	0	0	0	0	0
151	Cochem	RP	120062	103174	3015	2927	100159	100247	28281	27556	58125	58430	0	0	9314	9128	4019	4793	420	340	0	0	0	0	0	0	0	0	0	0	0	0
152	Kreuznach	RP	153192	132327	2131	2113	130196	130214	66404	60548	53410	50204	0	0	5413	10936	4458	7783	511	743	0	0	0	0	0	0	0	0	0	0	0	0
153	Bitburg	RP	125535	108355	5632	2986	102723	105369	22789	23482	70413	71967	0	0	6111	6029	3082	3601	328	290	0	0	0	0	0	0	0	0	0	0	0	0
154	Trier	RP	149047	127910	3932	3301	123978	124609	42760	41410	71040	71490	0	0	5220	6155	4453	5054	505	500	0	0	0	0	0	0	0	0	0	0	0	0
155	Montabaur	RP	187222	163060	2654	3362	160406	159698	65438	64506	79813	78533	0	0	9542	10187	4984	5826	629	646	0	0	0	0	0	0	0	0	0	0	0	0
156	Mainz	RP	180892	159419	4237	1783	155182	157636	71982	72007	68158	66208	0	0	8472	11400	5364	6747	1206	1274	0	0	0	0	0	0	0	0	0	0	0	0
157	Worms	RP	140159	122429	2715	2352	119714	120077	57279	56098	43445	42883	0	0	7718	8815	10379	11380	893	901	0	0	0	0	0	0	0	0	0	0	0	0
158	Frankenthal	RP	118467	103931	2452	2131	101479	101800	50613	49297	37209	37623	0	0	5394	6037	7816	8392	447	451	0	0	0	0	0	0	0	0	0	0	0	0
159	Ludwigshafen	RP	148334	129237	1791	2000	127446	127237	70010	68549	46688	46100	0	0	4836	6167	4587	5184	1325	1237	0	0	0	0	0	0	0	0	0	0	0	0
160	Neustadt – Speyer	RP	142360	125085	2524	2364	122561	122721	50853	50991	58853	57302	0	0	5514	6552	6354	6913	987	963	0	0	0	0	0	0	0	0	0	0	0	0
