Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	AUD	AUD	AVP	AVP	C.B.V.	C.B.V.	DKP	DKP	EAP	EAP	5%-BLOCK	5%-BLOCK	GIM	GIM	KPD	KPD	K B W	K B W	NPD	NPD	RFP	UAP	UAP	VL	VL	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																										
87	ESSEN I	NW	164326	147028	1013	656	146015	146372	87110	86132	49787	49746	0	0	7478	9155	0	38	0	17	0	0	1223	873	0	21	0	0	0	14	0	64	108	50	245	217	0	64	36	0	9	0
88	ESSEN II	NW	161146	142889	1007	657	141882	142232	94000	92634	40991	41080	0	0	5196	7169	0	33	0	5	0	0	1089	812	37	27	0	0	0	16	217	169	44	30	280	239	0	28	13	0	5	0
89	ESSEN III	NW	176413	162513	966	620	161547	161893	77007	73290	71722	71319	0	0	11067	15915	0	68	0	27	0	0	1261	814	0	18	0	0	0	19	0	79	0	72	295	246	0	58	19	0	7	137
90	DUISBURG I	NW	139302	123876	1453	598	122423	123278	81109	81573	34616	34524	0	0	5488	6136	0	25	59	26	0	0	594	492	53	39	0	0	0	15	237	169	0	24	267	243	0	0	4	0	8	0
91	DUISBURG II	NW	160221	145894	1274	568	144620	145326	83218	82140	51795	51393	0	0	7956	10448	0	48	67	38	0	0	911	700	67	36	0	0	0	20	252	169	0	28	354	299	0	0	3	0	4	0
92	AHAUS – BOHOLT	NW	179285	168332	1111	967	167221	167365	51999	49466	109827	110849	0	0	4686	6404	0	42	0	13	0	0	441	264	0	14	0	0	0	18	0	42	0	20	268	213	0	0	13	0	7	0
93	TECKLENBURG	NW	165794	154740	1444	842	153296	153898	62804	61802	80334	79324	0	0	9384	12008	0	43	0	11	0	0	506	322	0	14	0	0	0	31	0	40	0	59	268	228	0	0	9	0	7	0
94	BECKUM – WARENDORF	NW	168054	156587	1437	752	155150	155835	59267	60972	84494	84524	0	0	10302	9319	0	34	0	13	0	0	779	508	0	13	0	0	0	36	0	109	0	41	308	246	0	0	7	0	13	0
95	MUENSTER	NW	153486	140773	1151	511	139622	140262	54393	53074	71200	71012	0	0	12417	14654	0	85	105	32	0	0	909	810	0	13	0	0	0	51	0	99	325	195	273	217	0	0	12	0	8	0
96	STEINFURT –  COESFELD	NW	195144	182700	1942	981	180758	181719	60179	62013	109183	109703	0	0	10513	9246	0	46	0	18	0	0	566	308	0	6	0	0	0	35	0	41	0	62	317	220	0	0	7	0	14	0
97	GELSENKIRCHEN I	NW	119003	108148	794	526	107354	107622	67588	67867	33159	33366	0	0	5211	5358	0	53	84	38	0	0	1044	624	0	6	0	0	0	14	0	53	0	14	268	211	0	0	11	0	7	0
